npi_row_index,pecos_row_indices
9167,"[1781, 2763]"
9174,[2289]
9211,"[1931, 7866]"
9239,"[7866, 1931]"
9247,[9419]
9309,[4796]
9326,[9160]
9374,[3042]
9376,[616]
9391,[1472]
9399,[8512]
9421,"[1023, 3744]"
9432,[6932]
9434,[4796]
9461,[7470]
9467,"[1738, 9977]"
9474,"[1530, 145]"
9482,"[1001, 527]"
9503,[2271]
9506,"[6521, 5120, 4395]"
9572,[566]
9575,"[3565, 789, 895, 3338, 2761, 3808, 1226, 355, 2764, 881, 3512, 1042, 317, 2925, 9175, 899, 1741]"
9603,[6692]
9605,[733]
9611,[4717]
9615,"[225, 3349]"
9627,[616]
9641,[4299]
9646,[6692]
9653,"[4573, 3461, 4150, 7245]"
9659,"[881, 1042, 3338, 1226, 2925, 899, 3565, 895, 317, 789, 2938, 2731, 2761, 3808, 3538, 7379, 3512, 355, 2764]"
9663,"[3338, 1226, 3565, 895, 789, 2761, 3808, 1042, 355, 2764, 3512, 881, 2925, 899, 9175, 1741, 317]"
9683,"[936, 501]"
9689,[733]
9722,"[1597, 681, 9207]"
9729,[733]
9770,[8880]
9774,[1203]
9778,[9041]
9779,"[2985, 3689]"
9787,"[306, 1744, 1944]"
9794,[9921]
9834,"[1889, 1396]"
9836,"[4573, 3461, 4150]"
9837,"[4395, 5120, 6521]"
9875,[1781]
9892,"[1889, 1396]"
9898,"[7866, 1931]"
9900,[9129]
9902,"[3059, 2266, 859, 7394]"
9912,"[1781, 2763]"
9917,"[1077, 7059]"
9928,[3042]
9952,[3649]
9960,"[1597, 681, 9207]"
9963,[7314]
10032,"[7866, 1931]"
10035,"[3338, 1226, 3565, 895, 789, 2761, 881, 3808, 3512, 355, 2764, 1042, 317, 2925, 899, 9175, 2731, 1741]"
10043,[992]
10044,[6033]
10052,"[1781, 2763]"
10053,"[7634, 6348]"
10064,"[4573, 3461, 4150]"
10072,[8051]
10109,"[1889, 1396]"
10115,"[6348, 7634]"
10127,"[5543, 6348]"
10146,[3076]
10170,[3690]
10184,[1731]
10208,[7866]
10214,"[3500, 888]"
10222,"[3310, 5388, 4232]"
10227,[1717]
10256,[870]
10258,[4981]
10266,[3106]
10274,[621]
10282,[9129]
10287,"[3872, 3337]"
10291,[695]
10304,[8142]
10308,"[1688, 970]"
10324,[3042]
10326,"[2070, 1987]"
10334,"[4714, 4418, 992]"
10348,"[789, 2761, 3808, 355, 2764, 3565, 895, 3338, 1226, 1042, 881, 3512, 1741, 317, 2925, 9175, 899]"
10371,[2024]
10400,[4299]
10424,"[501, 936]"
10443,"[1889, 1396]"
10463,[3201]
10483,"[1889, 1396]"
10485,[3602]
10501,[3201]
10509,[3042]
10524,[3076]
10527,[3195]
10530,[8915]
10535,[4395]
10559,[5664]
10560,[2260]
10607,"[3461, 4573, 4150]"
10627,"[1597, 681, 9207]"
10628,[3737]
10636,[1481]
10647,[3042]
10660,[4981]
10673,"[1597, 681, 9207]"
10687,[3042]
10688,[7634]
10695,"[1023, 3744, 6875]"
10710,[4981]
10904,"[6893, 9207]"
10907,"[1889, 1396]"
10910,[6062]
10979,"[3888, 1395, 3355]"
11000,[4432]
11027,[7571]
11094,"[8559, 131]"
11098,[8716]
11127,[8142]
11156,"[6521, 4395, 5120]"
11175,[8716]
11197,[621]
11285,"[9439, 1472]"
11331,[4787]
11391,"[131, 8559]"
11410,"[9419, 8142]"
11480,"[7245, 4150, 4573]"
11498,[9846]
11528,"[4573, 4150, 3461]"
11537,[4717]
12147,"[9439, 1472]"
12324,[7781]
12377,[4981]
12418,[897]
12436,[4765]
12450,"[3684, 3201]"
12492,"[9207, 6893, 1597]"
12567,[7745]
12683,"[1889, 1396]"
12736,[6692]
12746,[9041]
12910,[9129]
12960,"[7260, 1023, 3744, 212, 797]"
13038,"[2168, 5871, 6009]"
13044,"[9419, 8142]"
13230,[621]
13309,"[9207, 1597, 681]"
13315,[7478]
13406,[7059]
13435,[2534]
13465,"[5120, 4395]"
13486,"[1781, 2763, 324, 2209]"
13642,[4787]
13670,[4717]
13686,[9129]
13811,[4787]
13895,[131]
13954,"[4714, 4418, 992]"
14018,"[1931, 7866]"
14043,[4765]
14051,[501]
14132,[4479]
14133,[1738]
14161,[4981]
14197,[1203]
14220,"[6893, 9207]"
14283,[8559]
14495,"[9175, 881, 7379, 1042, 899, 2938, 3538, 2731, 317, 3338, 2925, 1741, 1226]"
14505,"[3684, 3201, 4384]"
14647,"[1396, 1889]"
14656,"[1226, 9175, 3338, 789, 2761, 1741, 3808, 2764, 355, 7379, 895, 3565]"
14701,[2809]
14725,[6106]
14843,[9943]
14850,"[3201, 3684]"
14890,[2261]
14969,"[7059, 1077]"
14989,[5641]
15022,"[7379, 1042, 2925, 2731, 899, 9175]"
15113,[9419]
15138,[9129]
15164,[1481]
15272,[8684]
15373,[9079]
15383,[5069]
15391,[1385]
15399,[9943]
15430,[6692]
15519,"[4418, 4714]"
15552,"[4418, 992]"
15579,[8880]
15630,"[9943, 5061]"
15674,"[8993, 3650, 1796, 2330, 1415, 9852]"
15705,[5641]
15763,[2289]
15909,[8960]
15917,[8530]
15942,"[8993, 3650, 9852, 1796, 2330, 4949, 1415]"
16034,[3684]
16083,[9499]
16169,"[402, 1976]"
16177,"[1415, 4949, 3650, 1796, 2330, 9852, 8993]"
16208,[9542]
16213,[621]
16234,[3042]
16256,[9592]
16269,"[8559, 131]"
16292,"[3657, 3500, 888]"
16317,[877]
16333,[2227]
16378,"[3201, 3684]"
16449,[4391]
16455,"[1889, 1396]"
16470,[7780]
16528,"[9943, 5061]"
16560,[1481]
16603,[7655]
16611,[5187]
16647,"[1396, 1889]"
16648,[6293]
16718,[4432]
16731,[8477]
16761,"[9207, 6893, 1597]"
16770,[3042]
16789,"[2501, 2131]"
16839,"[3461, 7245, 4150]"
16960,[3737]
16976,"[93, 2858, 143]"
16983,"[4949, 3650, 2330, 1415, 9852, 1796]"
16990,[7394]
17018,"[2168, 5871, 4076]"
17077,[4303]
17092,[3737]
17261,[4765]
17263,[4981]
17282,[6893]
