npi_row_index,pecos_row_indices
3544,"[205, 1635]"
3547,[1566]
3548,[980]
3549,[388]
3558,[3839]
3563,[3191]
3572,[2472]
3573,"[4573, 3461, 4150]"
3574,[1922]
3575,[3285]
3577,[3903]
3596,"[3297, 2409, 2763]"
3598,[1222]
3604,[660]
3605,[2171]
3613,[2772]
3614,[3787]
3615,"[1890, 3063, 2258]"
3636,[1198]
3660,[3722]
3668,[474]
3669,[2511]
3671,[7245]
3688,[3558]
3690,"[3692, 3857]"
3698,[1443]
3700,[2864]
3708,[757]
3719,[4981]
3737,"[4150, 3461, 4573]"
3754,[4391]
3765,[2947]
3785,[1133]
3787,[2975]
3803,"[3884, 3998, 2559, 1147]"
3852,[354]
3857,[1474]
3861,[9499]
3877,[867]
3878,[1011]
3880,"[682, 3089]"
3882,[2726]
3897,"[1230, 2075]"
3902,[335]
3904,"[2856, 93, 3151, 2858, 143]"
3928,[1779]
3950,"[4418, 4714, 992]"
3960,[2953]
3973,[664]
3976,[1086]
3977,[593]
3997,"[2526, 2874]"
4005,[2034]
4017,[2912]
4018,[2670]
4019,[112]
4041,[966]
4044,[1430]
4046,[101]
4049,[1545]
4064,"[9439, 1472]"
4069,[1650]
4078,"[4150, 4573, 3461]"
4081,"[2505, 2380]"
4086,[429]
4088,[580]
4091,[2467]
4104,[1954]
4109,[1252]
4111,[2304]
4118,"[8142, 9419]"
4132,[1754]
4148,[1665]
4156,[904]
4157,"[929, 1373]"
4162,[2151]
4172,[720]
4187,[1482]
4188,"[18, 1036]"
4189,[955]
4214,"[8559, 131]"
4224,[4787]
4245,[1523]
4263,[2113]
4264,"[1815, 856, 192, 1539]"
4266,"[1976, 402]"
4278,"[3533, 577]"
4282,[521]
4283,"[1873, 2712, 2582]"
4286,"[3426, 2523, 1140]"
4294,[3892]
4295,[1857]
4299,"[2783, 2301]"
4306,"[839, 1331]"
4309,[1451]
4311,[798]
4319,[2984]
4320,"[1872, 2209, 324]"
4331,[6106]
4348,[3574]
4350,[1991]
4359,"[92, 483, 2199, 3591]"
4360,[2378]
4393,[53]
4408,[171]
4417,[3962]
4431,[2237]
4437,[1979]
4442,[1834]
4461,[1289]
4475,[3673]
4532,[1874]
4540,[176]
4584,[4432]
4587,[6348]
4589,[3085]
4602,[1150]
4603,[1362]
4626,[1770]
4637,"[588, 2101]"
4668,[1568]
4672,"[10, 3890]"
4681,[3403]
4682,[8199]
4693,[2714]
4701,[1764]
4706,"[4384, 3201, 3684]"
4719,[686]
4732,[1016]
4733,[2184]
4735,[3493]
4749,"[3996, 1767, 3105, 3936]"
4805,[9654]
4845,[2064]
4852,[2551]
4854,[3259]
4855,[1228]
4860,[2651]
4867,"[1402, 1059, 342]"
4872,[1610]
4878,[3559]
4885,"[1733, 3125, 3375]"
4890,[1070]
4899,"[3113, 2609, 882]"
4902,[1537]
4909,[2373]
4912,[236]
4914,[2605]
4915,[1320]
4918,[1365]
4923,"[1299, 1904]"
4936,[2003]
4939,[9129]
4947,[2154]
4955,"[3813, 2769, 2026]"
4957,"[2914, 747, 1917, 2390, 1957]"
4959,[1470]
4965,[2967]
4971,[1985]
4973,[2719]
4980,"[3121, 2825]"
4982,"[3441, 259]"
4984,"[3179, 1069]"
4992,[2192]
4997,[753]
4998,"[3107, 3531, 1702]"
5001,[2872]
5012,[1699]
5029,"[110, 3164, 3190, 3338, 895, 3565, 1226, 355, 1741, 3512, 3808, 9175, 789, 2761, 2764, 317, 881, 7379, 2925, 899, 1042]"
5030,[3284]
5044,[3862]
5045,[2778]
5047,[1401]
5053,[447]
5062,[2629]
5064,[2418]
5067,[1418]
5071,[2598]
5072,[2214]
5073,[1910]
5083,[2144]
5085,[1816]
5086,"[583, 3118]"
5099,[2309]
5117,[3233]
5130,[3312]
5135,[106]
5136,[3452]
5148,[3012]
5157,"[4150, 3461]"
5167,[2126]
5181,"[1889, 1396]"
5187,[992]
5196,[3358]
5197,[274]
5203,[2504]
5209,[1811]
5210,[2724]
5229,[1534]
5235,[1163]
5243,[1609]
5247,[2501]
5252,[2798]
5261,[9041]
5270,"[1546, 2804]"
5274,[3455]
5276,[199]
5302,[3196]
5303,[1966]
5306,[3931]
5317,[2581]
5321,[3946]
5332,"[2444, 2983]"
5351,[1463]
5355,[3100]
5367,[2473]
5371,[3111]
5374,[2837]
5375,"[892, 916]"
5411,[3717]
5412,[3536]
5416,[4435]
5428,[1491]
5432,"[2655, 2205]"
5443,"[881, 899, 2925, 2938, 1042, 3538, 317, 895, 3512, 2731, 3565, 1741, 3808, 2761, 7379, 1226, 3338, 789, 9175, 355, 2764]"
5444,[2396]
5457,"[493, 3746]"
5459,[3694]
5466,[9931]
5472,[1753]
5505,[1162]
5509,"[950, 2123, 2626]"
5512,[3498]
5524,"[2964, 1606]"
5536,[4432]
5545,[9886]
5552,[3972]
5558,[1024]
5561,[3978]
5564,[4717]
5566,[2146]
5576,[1115]
5580,"[2217, 751]"
5600,[3526]
5606,"[2231, 1782]"
5630,[2788]
5661,[1605]
5662,[4299]
5684,[3270]
5689,[59]
5696,[46]
5697,[3130]
5698,[1810]
5716,[7059]
5728,"[538, 2699]"
5740,[1738]
5751,[2276]
5775,[351]
5776,[3916]
5794,[1410]
5795,[1337]
5796,[1444]
5803,[1618]
5804,[4]
5815,[1012]
5830,[3642]
5838,"[1109, 1188, 4981]"
5839,[2792]
5843,[1977]
5852,[3942]
5876,[1244]
5877,[2127]
5889,[3078]
5891,[2095]
5892,[1875]
5893,[841]
5897,[1916]
5898,"[2847, 3425, 2579, 2272]"
5907,"[7245, 4150, 4573, 3461]"
5920,[2481]
5922,[1009]
5938,"[9943, 5061]"
5940,[1761]
5943,[3384]
5950,[3184]
5952,"[3434, 415]"
5960,"[3528, 3219]"
5965,[940]
5969,[3363]
5973,[1838]
5977,"[2992, 1445]"
5985,[1569]
6000,[3197]
6001,[2841]
6011,[2654]
6013,"[640, 7780]"
6031,[75]
6046,[1311]
6059,[723]
6081,[653]
6095,[613]
6098,[2432]
6104,[3007]
6123,[3896]
6133,[1425]
6139,[465]
6140,[4384]
6145,[109]
6148,"[1121, 896, 3753, 2674]"
6149,[1224]
6182,[2362]
6187,[833]
6206,[3827]
6209,"[3183, 3785, 3220]"
6216,[2187]
6222,[2895]
6224,[558]
6231,[8684]
6244,[3599]
6246,[2036]
6257,[780]
6258,[3511]
6265,[1671]
6266,[2589]
6267,"[3976, 756]"
6273,[2435]
6295,[2486]
6299,[1611]
6314,[1829]
6319,[1209]
6333,[55]
6334,"[345, 3871]"
6340,[3132]
6346,"[3340, 2586]"
6349,[2440]
6350,[4765]
6353,[2213]
6367,[3287]
6374,[3715]
6375,"[1585, 3002, 1577]"
6380,[1461]
6405,[927]
6426,[9886]
6434,[3172]
6452,[3357]
6479,[1310]
6483,"[1592, 357]"
6484,"[2954, 516]"
6488,"[367, 306, 1744, 1944]"
6498,[3042]
6512,[1359]
6516,"[2225, 3305, 2766]"
6518,[1246]
6549,[1087]
6551,[2861]
6553,[2879]
6554,"[1396, 1889]"
6558,[3823]
6583,[769]
6596,[3150]
6610,"[4150, 3461, 4573]"
6616,[3872]
6621,"[1909, 596]"
6622,[2789]
6626,[1052]
6629,"[1505, 2620]"
6637,[2278]
6638,[542]
6640,[3483]
6654,[2815]
6659,[3492]
6662,"[3808, 2761, 355, 1741, 2764, 9175, 789, 7379, 1226, 3512, 3565, 3338, 895, 3538, 2925, 899]"
6663,[2097]
6669,[1628]
6695,[1255]
6701,[3809]
6719,"[1172, 381]"
6740,[4232]
6742,[2150]
6745,[615]
6746,[3748]
6765,[524]
6773,"[4714, 4418, 992]"
6779,[1129]
6785,[697]
6797,[2790]
6811,[3133]
